id,username,question_id,answer_value,timestamp,created_at,updated_at
1,test_user,test_q1,A,1759209161956,2025-09-30 04:20:16.078989+00,2025-10-18 13:18:10.46745+00
4,test_user,test_q2,C,1759206226635,2025-09-30 04:24:14.43888+00,2025-10-18 13:18:10.545691+00
5,teacher_man,U1-L3-Q01,A,1759206257769,2025-09-30 04:24:45.77927+00,2025-10-17 17:56:00.402056+00
7,Apricot_Fox,U1-L3-Q01,E,1757684456314,2025-09-30 04:28:49.901448+00,2025-10-18 13:16:24.409685+00
8,Apricot_Fox,U1-L3-Q02,B,1757684459618,2025-09-30 04:28:50.009391+00,2025-10-18 13:16:24.246044+00
9,Apricot_Fox,U1-L3-Q03,E,1757684465748,2025-09-30 04:28:50.136452+00,2025-10-18 13:16:24.144844+00
10,Apricot_Fox,U1-L4-Q01,C,1757943008325,2025-09-30 04:28:50.258984+00,2025-10-18 13:16:24.066125+00
11,Apricot_Fox,U1-L4-Q02,D,1757943011671,2025-09-30 04:28:50.427065+00,2025-10-18 13:16:23.962637+00
12,Apricot_Fox,U1-L4-Q03,A,1757943013583,2025-09-30 04:28:50.528971+00,2025-10-18 13:16:23.860696+00
13,Apricot_Fox,U1-L4-Q04,B,1757943015483,2025-09-30 04:28:50.633976+00,2025-10-18 13:16:23.746387+00
14,Apricot_Fox,U1-L4-Q05,A,1757943017972,2025-09-30 04:28:50.738449+00,2025-10-18 13:16:23.636141+00
15,Apricot_Fox,U1-L4-Q06,D,1757943020140,2025-09-30 04:28:50.856853+00,2025-10-18 13:16:23.500195+00
16,Apricot_Dog,U1-L3-Q01,E,1757684012225,2025-09-30 04:28:58.981984+00,2025-10-18 18:06:21.666135+00
17,Apricot_Dog,U1-L3-Q02,B,1757684150046,2025-09-30 04:28:59.101241+00,2025-10-18 18:06:21.24438+00
18,Apricot_Dog,U1-L3-Q03,E,1757684259295,2025-09-30 04:28:59.231558+00,2025-10-18 18:06:16.328317+00
19,Apricot_Dog,U1-L4-Q01,C,1757942032798,2025-09-30 04:28:59.349411+00,2025-10-18 18:06:16.103659+00
20,Apricot_Dog,U1-L4-Q03,A,1757942546149,2025-09-30 04:28:59.455595+00,2025-10-18 18:06:06.543479+00
21,Apricot_Dog,U1-L4-Q04,B,1757942678152,2025-09-30 04:28:59.596416+00,2025-10-18 18:06:01.765187+00
22,Apricot_Dog,U1-L4-Q05,E,1757943309529,2025-09-30 04:28:59.704921+00,2025-10-18 18:05:59.310937+00
23,Apricot_Dog,U1-L4-Q02,D,1757943323112,2025-09-30 04:28:59.822569+00,2025-10-18 18:05:41.522293+00
24,Apricot_Dog,U1-L4-Q06,D,1757943436089,2025-09-30 04:28:59.94697+00,2025-10-18 18:05:35.582513+00
25,Apricot_Dog,U1-L2-Q01,B,1757965978629,2025-09-30 04:29:00.064095+00,2025-10-18 18:05:22.078325+00
26,Apricot_Dog,U1-L2-Q02,E,1757965992637,2025-09-30 04:29:00.189933+00,2025-10-18 18:05:21.959433+00
27,Apricot_Dog,U1-L2-Q03,B,1757966000379,2025-09-30 04:29:00.317499+00,2025-10-18 18:05:21.869246+00
28,Banana_Goat,U1-L3-Q01,E,1760664460737,2025-09-30 04:29:02.560363+00,2025-10-18 18:09:15.800812+00
29,Banana_Goat,U1-L3-Q02,B,1760664510529,2025-09-30 04:29:02.676819+00,2025-10-18 18:09:15.592364+00
30,Banana_Goat,U1-L3-Q03,E,1760664516090,2025-09-30 04:29:02.78343+00,2025-10-18 18:09:15.407213+00
31,Apple_Monkey,U2-L2-Q01,E,1757683895063,2025-09-30 04:29:06.326266+00,2025-10-17 17:56:45.709309+00
32,Apple_Monkey,U1-L2-Q01,B,1757684023766,2025-09-30 04:29:06.441912+00,2025-10-17 17:56:45.607975+00
33,Apple_Monkey,U1-L2-Q02,E,1757684040958,2025-09-30 04:29:06.546083+00,2025-10-17 17:56:45.525573+00
34,Apple_Monkey,U1-L2-Q03,B,1757684052880,2025-09-30 04:29:06.65585+00,2025-10-17 17:56:45.339012+00
35,Apple_Monkey,U1-L3-Q03,E,1757684188382,2025-09-30 04:29:06.765624+00,2025-10-17 17:56:45.23475+00
36,Apple_Monkey,U1-L3-Q01,E,1757684204269,2025-09-30 04:29:06.87334+00,2025-10-17 17:56:45.158076+00
37,Apple_Monkey,U1-L3-Q02,B,1757684212610,2025-09-30 04:29:06.975975+00,2025-10-17 17:56:45.07974+00
38,Apple_Monkey,U1-L4-Q01,C,1757814304913,2025-09-30 04:29:07.070418+00,2025-10-17 17:56:44.981124+00
39,Apple_Monkey,U1-L4-Q02,E,1757816164459,2025-09-30 04:29:07.179802+00,2025-10-17 17:56:44.803454+00
40,Apple_Monkey,U1-L4-Q03,A,1757816170979,2025-09-30 04:29:07.291677+00,2025-10-17 17:56:44.698342+00
41,Apple_Monkey,U1-L4-Q04,B,1757816181342,2025-09-30 04:29:07.403399+00,2025-10-17 17:56:44.504998+00
42,Apple_Monkey,U1-L4-Q05,E,1757816187593,2025-09-30 04:29:07.517289+00,2025-10-17 17:56:44.160144+00
43,Apple_Monkey,U1-L4-Q06,D,1757816194295,2025-09-30 04:29:07.63039+00,2025-10-17 17:56:44.077545+00
44,Apple_Monkey,U1-L5-Q01,C,1757816632685,2025-09-30 04:29:07.749679+00,2025-10-17 17:56:43.98011+00
45,Apple_Monkey,U1-L5-Q02,E,1757816638530,2025-09-30 04:29:07.852603+00,2025-10-17 17:56:43.87447+00
46,Apple_Monkey,U1-L5-Q03,D,1757816651849,2025-09-30 04:29:07.965388+00,2025-10-17 17:56:43.766167+00
47,Apple_Monkey,U1-L6-Q03,D,1757897551515,2025-09-30 04:29:08.08204+00,2025-10-17 17:56:43.671446+00
48,Apple_Monkey,U1-L6-Q01,B,1757897609049,2025-09-30 04:29:08.196597+00,2025-10-17 17:56:43.560049+00
49,Apple_Monkey,U1-L6-Q02,D,1757897697557,2025-09-30 04:29:08.30306+00,2025-10-17 17:56:43.395646+00
50,Guava_Cat,U1-L2-Q01,B,1757683616691,2025-09-30 04:29:11.10156+00,2025-10-18 13:15:42.400612+00
51,Guava_Cat,U1-L2-Q02,E,1757683654977,2025-09-30 04:29:11.202677+00,2025-10-18 13:15:42.071644+00
52,Guava_Cat,U1-L2-Q03,B,1757683662926,2025-09-30 04:29:11.320092+00,2025-10-18 13:15:41.980316+00
53,Guava_Cat,U1-L3-Q01,E,1757683703934,2025-09-30 04:29:11.44006+00,2025-10-18 13:15:41.763416+00
54,Guava_Cat,U1-L3-Q02,B,1757683734289,2025-09-30 04:29:11.543848+00,2025-10-18 13:15:41.491632+00
55,Guava_Cat,U1-L3-Q03,E,1757683828224,2025-09-30 04:29:11.652562+00,2025-10-18 13:15:41.057325+00
56,Guava_Cat,U1-L4-Q01,C,1757683875484,2025-09-30 04:29:11.752177+00,2025-10-18 13:15:40.906798+00
57,Guava_Cat,U1-L4-Q02,C,1757683914516,2025-09-30 04:29:11.862983+00,2025-10-18 13:15:40.741295+00
58,Guava_Cat,U1-L4-Q03,A,1757683992146,2025-09-30 04:29:11.978285+00,2025-10-18 13:15:40.174084+00
59,Guava_Cat,U1-L4-Q04,B,1757684101157,2025-09-30 04:29:12.092062+00,2025-10-18 13:15:40.038759+00
60,Guava_Cat,U1-L4-Q05,C,1757684261839,2025-09-30 04:29:12.202277+00,2025-10-18 13:15:39.129763+00
61,Guava_Cat,U1-L4-Q06,A,1757684295319,2025-09-30 04:29:12.342289+00,2025-10-18 13:15:38.945855+00
62,Plum_Iguana,U1-L3-Q01,E,1757701156797,2025-09-30 04:29:14.56474+00,2025-10-18 13:18:07.077684+00
63,Plum_Iguana,U1-L3-Q02,A,1757701207441,2025-09-30 04:29:14.671485+00,2025-10-18 13:18:06.788046+00
64,Plum_Iguana,U1-L3-Q03,E,1757701210915,2025-09-30 04:29:14.779151+00,2025-10-18 13:18:06.682905+00
65,Apple_Rabbit,U1-L2-Q01,B,1757683639793,2025-09-30 04:29:17.281462+00,2025-10-17 17:54:54.110508+00
66,Apple_Rabbit,U1-L2-Q02,E,1757683678357,2025-09-30 04:29:17.375794+00,2025-10-17 17:54:53.99406+00
67,Apple_Rabbit,U1-L2-Q03,B,1757683740521,2025-09-30 04:29:17.484625+00,2025-10-17 17:54:53.913716+00
68,Apple_Rabbit,U1-L3-Q03,E,1757683800760,2025-09-30 04:29:17.596266+00,2025-10-17 17:54:53.841276+00
69,Apple_Rabbit,U1-L3-Q01,E,1757683806403,2025-09-30 04:29:17.71571+00,2025-10-17 17:54:53.705448+00
70,Apple_Rabbit,U1-L3-Q02,B,1757683809760,2025-09-30 04:29:17.836505+00,2025-10-17 17:54:53.61413+00
71,Papaya_Fox,U1-L3-Q01,E,1757699076408,2025-09-30 04:29:21.574066+00,2025-10-18 18:05:01.320291+00
72,Papaya_Fox,U1-L3-Q02,B,1757699129382,2025-09-30 04:29:21.686613+00,2025-10-18 18:05:01.234832+00
73,Papaya_Fox,U1-L3-Q03,E,1757699172806,2025-09-30 04:29:21.795747+00,2025-10-18 18:05:01.114131+00
74,Papaya_Goat,U1-L3-Q01,E,1757699297305,2025-09-30 04:29:28.907212+00,2025-10-18 18:11:06.873223+00
75,Papaya_Goat,U1-L3-Q02,B,1757699839889,2025-09-30 04:29:29.019428+00,2025-10-18 18:11:06.766847+00
76,Papaya_Goat,U1-L3-Q03,E,1757700126147,2025-09-30 04:29:29.131535+00,2025-10-18 18:11:06.660055+00
77,Grape_Newt,U1-L3-Q01,A,1757700503932,2025-09-30 04:29:29.972267+00,2025-10-18 18:10:58.118725+00
78,Grape_Newt,U1-L3-Q02,A,1757700534007,2025-09-30 04:29:30.077521+00,2025-10-18 18:10:57.676727+00
79,Grape_Newt,U1-L3-Q03,E,1757700695762,2025-09-30 04:29:30.186759+00,2025-10-18 18:10:56.843724+00
80,Kiwi_Panda,U1-L2-Q01,B,1757699021157,2025-09-30 04:29:30.372648+00,2025-10-17 17:56:35.394743+00
81,Kiwi_Panda,U1-L2-Q02,E,1757699253475,2025-09-30 04:29:30.48328+00,2025-10-17 17:56:35.264763+00
82,Kiwi_Panda,U1-L2-Q03,B,1757699395922,2025-09-30 04:29:30.590878+00,2025-10-17 17:56:35.126814+00
83,Kiwi_Panda,U1-L3-Q02,B,1757700739917,2025-09-30 04:29:30.70579+00,2025-10-17 17:56:34.893316+00
84,Kiwi_Panda,U1-L3-Q01,E,1757701142109,2025-09-30 04:29:30.815918+00,2025-10-17 17:56:34.760767+00
85,Kiwi_Panda,U1-L3-Q03,E,1757948539947,2025-09-30 04:29:30.925498+00,2025-10-17 17:56:34.645283+00
86,Grape_Fox,U1-L3-Q01,E,1757699076408,2025-09-30 04:29:33.502492+00,2025-10-17 17:56:40.490621+00
87,Grape_Fox,U1-L3-Q02,B,1757699129382,2025-09-30 04:29:33.685413+00,2025-10-17 17:56:40.319203+00
88,Grape_Fox,U1-L3-Q03,E,1757699172806,2025-09-30 04:29:33.817748+00,2025-10-17 17:56:40.095291+00
89,papaya_goat,U1-L3-Q01,E,1757699297305,2025-09-30 04:29:38.61122+00,2025-10-18 18:09:04.110987+00
90,papaya_goat,U1-L3-Q02,B,1757699839889,2025-09-30 04:29:38.721215+00,2025-10-18 18:09:03.801279+00
91,papaya_goat,U1-L3-Q03,E,1757700126147,2025-09-30 04:29:38.854436+00,2025-10-18 18:09:03.679191+00
92,Lemon_Monkey,U1-L3-Q01,E,1757698959605,2025-09-30 04:29:40.443118+00,2025-10-18 18:09:06.330663+00
93,Lemon_Monkey,U1-L3-Q03,E,1757699467562,2025-09-30 04:29:40.558267+00,2025-10-18 18:09:06.250795+00
94,Lemon_Monkey,U1-L3-Q02,B,1757699489907,2025-09-30 04:29:40.678917+00,2025-10-18 18:09:06.152183+00
95,Apricot_Horse,U1-L4-Q01,C,1757942286046,2025-09-30 04:29:40.78799+00,2025-10-17 17:55:56.678493+00
96,Apricot_Horse,U1-L4-Q02,B,1757942263726,2025-09-30 04:29:40.896306+00,2025-10-17 17:55:56.80602+00
97,Apricot_Horse,U1-L4-Q03,A,1757942806116,2025-09-30 04:29:41.014985+00,2025-10-17 17:55:56.597245+00
98,Apricot_Horse,U1-L4-Q04,B,1757943159611,2025-09-30 04:29:41.122244+00,2025-10-17 17:55:56.506525+00
99,Apricot_Horse,U1-L4-Q05,A,1757941984972,2025-09-30 04:29:41.232026+00,2025-10-17 17:55:57.013282+00
100,Apricot_Horse,U1-L4-Q06,D,1757942015440,2025-09-30 04:29:41.34231+00,2025-10-17 17:55:56.913538+00
101,Mango_Dog,U1-L4-Q01,C,1757699264908,2025-09-30 04:29:43.970997+00,2025-10-17 17:56:04.133439+00
102,Mango_Dog,U1-L4-Q02,D,1757699682756,2025-09-30 04:29:44.083502+00,2025-10-17 17:56:04.024409+00
103,Mango_Dog,U1-L4-Q03,A,1757700802934,2025-09-30 04:29:44.192346+00,2025-10-17 17:56:03.925217+00
104,Mango_Dog,U1-L3-Q01,E,1757701302388,2025-09-30 04:29:44.3218+00,2025-10-17 17:56:03.746059+00
105,Mango_Dog,U1-L3-Q02,B,1757902720680,2025-09-30 04:29:44.436611+00,2025-10-17 17:56:03.668864+00
106,Mango_Dog,U1-L3-Q03,E,1757902982195,2025-09-30 04:29:44.564199+00,2025-10-17 17:56:03.590339+00
